age,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,shipping_type,previous_purchases,payment_method,frequency_of_purchases,subscription_status_Yes,discount_applied_Yes,Male
55,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Express,14,Venmo,Fortnightly,1,1,1
19,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Express,2,Cash,Fortnightly,1,1,1
50,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Free Shipping,23,Credit Card,Weekly,1,1,1
21,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Next Day Air,49,PayPal,Weekly,1,1,1
45,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Free Shipping,31,PayPal,Annually,1,1,1
46,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Standard,14,Venmo,Weekly,1,1,1
63,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Free Shipping,49,Cash,Quarterly,1,1,1
27,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Free Shipping,19,Credit Card,Weekly,1,1,1
26,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Express,8,Venmo,Annually,1,1,1
57,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,2-Day Shipping,4,Cash,Quarterly,1,1,1
53,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Store Pickup,26,Bank Transfer,Bi-Weekly,1,1,1
30,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Store Pickup,10,Bank Transfer,Fortnightly,1,1,1
61,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Express,37,Venmo,Fortnightly,1,1,1
65,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Express,31,PayPal,Weekly,1,1,1
64,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Free Shipping,34,Debit Card,Weekly,1,1,1
64,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Store Pickup,8,PayPal,Monthly,1,1,1
25,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Next Day Air,44,Debit Card,Bi-Weekly,1,1,1
53,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,2-Day Shipping,36,Venmo,Quarterly,1,1,1
52,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Free Shipping,17,Cash,Weekly,1,1,1
66,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Standard,46,Debit Card,Bi-Weekly,1,1,1
21,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Express,50,Cash,Every 3 Months,1,1,1
31,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Store Pickup,22,Debit Card,Quarterly,1,1,1
56,Pants,Clothing,37,California,M,Peach,Summer,3.2,Store Pickup,32,Debit Card,Annually,1,1,1
31,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Express,40,Credit Card,Weekly,1,1,1
18,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Store Pickup,16,Debit Card,Weekly,1,1,1
18,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Express,14,PayPal,Annually,1,1,1
38,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Next Day Air,13,Credit Card,Annually,1,1,1
56,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Next Day Air,7,Bank Transfer,Every 3 Months,1,1,1
54,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Free Shipping,41,PayPal,Every 3 Months,1,1,1
31,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Store Pickup,14,Credit Card,Weekly,1,1,1
57,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Standard,16,Credit Card,Monthly,1,1,1
33,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Store Pickup,45,Venmo,Monthly,1,1,1
36,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Free Shipping,37,Venmo,Annually,1,1,1
54,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Store Pickup,45,Cash,Quarterly,1,1,1
36,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,2-Day Shipping,38,PayPal,Quarterly,1,1,1
54,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,2-Day Shipping,48,Credit Card,Bi-Weekly,1,1,1
35,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Free Shipping,44,PayPal,Fortnightly,1,1,1
35,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Store Pickup,10,PayPal,Weekly,1,1,1
29,Dress,Clothing,37,Florida,M,Red,Winter,3.7,2-Day Shipping,44,Venmo,Every 3 Months,1,1,1
70,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Express,18,Credit Card,Monthly,1,1,1
69,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Next Day Air,31,Debit Card,Quarterly,1,1,1
67,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Standard,40,Venmo,Annually,1,1,1
20,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Free Shipping,15,PayPal,Annually,1,1,1
25,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Store Pickup,19,PayPal,Fortnightly,1,1,1
39,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Free Shipping,45,PayPal,Weekly,1,1,1
50,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,2-Day Shipping,25,PayPal,Annually,1,1,1
57,Shirt,Clothing,43,California,L,White,Summer,2.9,Store Pickup,45,Cash,Quarterly,1,1,1
55,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Free Shipping,36,Cash,Weekly,1,1,1
42,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Store Pickup,38,Cash,Monthly,1,1,1
68,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Next Day Air,34,Debit Card,Bi-Weekly,1,1,1
49,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Store Pickup,39,Debit Card,Bi-Weekly,1,1,1
59,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,2-Day Shipping,7,Credit Card,Quarterly,1,1,1
